course,final_score
BT48017-INDUSTRIAL TRAINING ,8.973684210526315
BT48026-COMPREHENSIVE VIVA VOCE ,3.714285714285714
BT49001-ENZYME TECHNOLOGY LABORATORY ,7.5955149501661126
BT57003-THESIS (PROJECT) PART I ,3.777777777777778
BT58001-COMPREHENSIVE VIVA VOCE ,3.473684210526316
BT60003- ,3.4166666666666665
BT60004- ,3.588235294117647
BT60006- ,4.0
BT60007- ,4.0
BT60015- ,2.888888888888889
BT60016- ,3.75
BT61030- ,7.488095238095238
BT63027- ,2.25
BT69007- ,3.578947368421052
CD61002- ,12.0
CD61004- ,9.652272727272727
CD66001- ,4.74
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS ,12.467849732218811
CE13003-ENGINEERING DRAWING AND COMPUTER GRAPHICS ,16.034364677397015
CE20006-WATER RESOURCES ENGG. ,6.393980848153214
CE20101-INTRODUCTION TO CIVIL ENGG. & MATERIALS ,6.625386996904025
CE20103-TRANSPORTATION ENGG. ,6.152748414376321
CE20105-SURVEYING ,6.012735326688816
CE20201-INTRODUCTION TO CIVIL ENGINEERING AND MATERIALS ,11.056669572798606
CE20203-GEOMATICS ,8.184041933605124
CE21003-HYDRAULICS ,7.2984496124031
CE21004-STRUCTURAL ANALYSIS ,6.520959595959596
CE21005-SOLID MECHANICS ,4.162542824514655
CE21201-SOLID MECHANICS ,8.509175906965963
CE21202-STRUCTURAL ANALYSIS ,4.902912621359223
CE21203-HYDRAULICS ,8.167249077848961
CE21204-TRANSPORTATION ENGINEERING ,7.457943925233645
CE21206-ELEMENTARY STRUCTURAL ANALYSIS ,2.466666666666667
CE29002-SURVEYING PEACTICE ,7.902500000000001
CE29003-TRANSPORTATION ENGG. LAB ,7.955426356589147
CE29006-WATER RESOURCES ENGG. LABORATORY ,7.508333333333333
CE29202-GEOMATICS PRACTICE ,7.800000000000001
CE29203-HYDRAULIC AND WATER RESOURCES ENGINEERING LABORATORY ,10.061590436590436
CE29204-TRANSPORTATION ENGINEERING LABORATORY ,7.853211009174312
CE29206-SURVEYING PRACTICE ,3.276595744680851
CE30201-PAVEMENT ENGINEERING ,6.966292134831461
CE30203-GEOTECHNICAL ENGINEERING ,1.7640449438202246
CE30205-WATER AND WASTEWATER ENGINEERING ,5.694736842105263
CE31001-DESIGN OF RC STRUCTURE ,7.559642051161638
CE31002-FOUNDATION ENGINEERING ,3.6787878787878787
CE31003-SOIL MECHANICS ,5.570281124497992
CE31004-DESIGN OF STEEL STRUCTURES ,6.145028957528957
CE31005-WATER AND W.W. ENGINEERING ,6.692307692307692
CE31104-STATISTICAL METHODS IN HYDROLOGY ,7.333333333333333
CE31111-DESIGN OF HYDRAULIC STRUCTURES ,7.111434108527131
CE31216-CONSTRUCTION PLANNING AND MANAGEMENT ,7.068292682926829
CE31302-ENVIRONMENTAL ENGINEERING ,6.055555555555555
CE31306-ENVIRONMENTAL IMPACT ASSESSMENT AND AUDITING ,7.232323232323232
CE31406-GROUND IMPROVEMENT ,2.333333333333333
CE31410-ROCK MECHANICS AND TUNNELLING ,2.6363636363636362
CE32201-MATRIX STRUCTURAL ANALYSIS ,5.553191489361702
CE39004-DESIGN SESSIONAL ,7.707329317269076
CE39006-STRUCTURAL DETAILING ,5.590040086339808
CE39007-CONCRETE LABORATORY ,11.100934579439253
CE39008-CIVIL ENGG. DRAWING AND EST. ,6.561505832449628
CE39009-SOIL MECHANICS LABORATORY ,8.030717054263565
CE39011-W & W.W. ENGINEERING LABORATORY ,9.639993204213388
CE39203-GEOTECHNICAL ENGINEERING LABORATORY ,6.333333333333333
CE41003-STRUCTURAL DYNAMICS & EARTHQUAKE ENGG. ,5.94
CE41028-STRUCTURAL HEALTH MONITORING ,3.384615384615385
CE41601-SOLID WASTE MANAGEMENT ,10.268817204301076
CE41603-HAZARDOUS WASTE MANAGEMENT ,3.458333333333333
CE41627-ADVANCED STRUCTURAL ANALYSIS ,5.875
CE41629-THEORY OF ELASTICITY AND PLASTICITY ,6.366666666666667
CE42002-THEORY OF ELASTIC STABILITY ,2.9999999999999996
CE42006-BEHAVIOUR OF RC STRUCTURES ,2.4285714285714284
CE47006-PROJECT-II ,3.25
CE47007-PROJECT-I ,6.826330532212886
CE48001-INDUSTRIAL TRAINING ,5.450757575757576
CE48003-COMPREHENSIVE VIVA-VOCE ,2.2758620689655173
CE48004-COMPREHENSIVE VIVA-VOCE ,2.625
CE57003-M.TECH PROJECT - I ,3.0571428571428565
CE58003-SEMINAR ,3.25
CE60001- ,4.0
CE60002- ,0.0
CE60005- ,4.0
CE60006- ,2.0
CE60011- ,4.125
CE60012- ,3.875
CE60013- ,6.375
CE60014- ,3.375
CE60016- ,7.226190476190475
CE60021- ,6.944444444444445
CE60022- ,3.647058823529412
CE60023- ,6.794117647058824
CE60028- ,2.7777777777777777
CE60061- ,2.4999999999999996
CE60103- ,3.5
CE60105- ,3.6000000000000005
CE60112- ,2.75
CE60113- ,4.0
CE60115- ,5.666666666666666
CE60124- ,2.6666666666666665
CE60125- ,2.6666666666666665
CE60128- ,3.0
CE60132- ,2.625
CE60135- ,8.703463203463205
CE60136- ,3.0
CE60144- ,3.0
CE60207- ,2.5
CE60213- ,2.9999999999999996
CE60221- ,3.0
CE61003- ,7.25
CE69003- ,3.0
CE69005- ,5.0
CE69007- ,3.125
CE69008- ,3.3846153846153846
CE69013- ,3.388888888888889
CE69019- ,3.625
CE69021- ,5.759989621172808
CE69023- ,7.792929292929292
CH20001-FLUID MECHANICS ,6.557475083056478
CH21004-HEAT TRANSFER ,7.100669536107126
CH21008-CHEMICAL ENGINEERING THERMODYNAMICS ,7.281332744924978
CH21103-CHEMICAL PROCESS CALCULATIONS ,9.520569329660239
CH21201-CHEMICAL ENGINEERING THERMODYNAMICS ,5.931081566654689
CH21202-MASS TRANSFER I ,2.310077519379845
CH21203-CHEMICAL PROCESS CALCULATIONS ,6.4238118569328755
CH21204-HEAT TRANSFER ,2.958677685950414
CH21205-MECHANICAL OPERATIONS ,6.277375201288244
CH21206-REACTION ENGINEERING ,3.8617886178861793
CH21207-FLUID MECHANICS ,6.409897490279251
CH21208-INSTRUMENTATION AND PROCESS CONTROL ,2.3980582524271843
CH29006-FLUID FLOW LABORATORY AND DESIGN ,8.676604554865424
CH29008-FUEL LABORATORY ,8.08592132505176
CH29201-FUEL LABORATORY ,7.6284878048780485
CH29202-FLUID FLOW LABORATORY AND DESIGN ,3.4959349593495936
CH30012-TRANSPORT PHENOMENA ,5.249594287568971
CH30014-CHEMICAL PROCESS TECHNOLOGY ,9.54370882740448
CH30016-COMPUTER AIDED PROCESS ENGINEERING ,6.567290552584669
CH31001-MASS TRANSFER I ,7.295278410941061
CH31007-MECHANICAL OPERATIONS ,7.348662207357859
CH31009-REACTION ENGINEERING ,7.874948240165631
CH31010-MASS TRANSFER II ,9.502923976608187
CH31011-INSTRUMENTATION & PROCESS CONTROL ,6.9226086956521735
CH31203-COMPUTER AIDED PROCESS ENGINEERING ,2.6506024096385543
CH39006-MASS TRANSFER LABORATORY ,7.790318503538929
CH39015-MECHANICAL OPERATIONS & HEAT TRANSFER LABORATORY ,11.901656314699792
CH39020-INSTRUMENTATION AND PROCESS CONTROL LABORATORY ,10.644466050883162
CH39022-PROCESS EQUIPMENT DESIGN-II ,8.201035196687371
CH39023-PROCESS EQUIPMENT DESIGN-I ,12.068711811341714
CH40001-BIOCHEMICAL ENGINEERING ,6.104255319148936
CH42006-COMPUTER METHODS IN CHEM. ENGG. ,7.514285714285714
CH42014-FUEL TECHNOLOGY ,9.75
CH47024-PROJECT-II ,3.631578947368421
CH47025-PROJECT-I ,7.258741258741258
CH48013-INDUSTRIAL TRAINING ,3.4239130434782608
CH48014-COMPREHENSIVE VIVA-VOCE ,2.833333333333333
CH49015-REACTION ENGINEERING LABORATORY ,7.783850931677019
CH49019-COMPUTER AIDED PROCESS ENGINEERING LAB. ,7.080930232558139
CH57003-M.TECH. PROJECT I ,3.105263157894737
CH58001-COMPREHENSIVE VIVA VOCE ,2.9722222222222223
CH60016- ,3.25
CH61011- ,6.0606060606060606
CH61012- ,2.9487179487179485
CH61015- ,2.7586206896551726
CH61016- ,2.6666666666666665
CH61017- ,7.787878787878787
CH62001- ,6.6000000000000005
CH62003- ,2.6666666666666665
CH62007- ,7.75
CH62008- ,3.333333333333333
CH62009- ,6.295454545454545
CH62010- ,3.25
CH62021- ,7.5
CH62039- ,4.0
CH62045- ,2.0
CH62047- ,6.0
CH62049- ,2.75
CH62050- ,5.0
CH62052- ,3.833333333333333
CH70002- ,3.0
CH71002- ,3.0
CL60004- ,2.0
CL60006- ,1.0
CL60008- ,11.483333333333333
CL60019- ,12.45
CL60020- ,2.5999999999999996
CL60028- ,7.833333333333333
CL60030- ,6.5
CL60031- ,3.5
CL60201- ,2.0
CL61012- ,3.0
CL61018- ,4.5
CL61203- ,2.0
CL69203- ,5.0
CR60006- ,3.0
CR61001- ,8.0
CR61003- ,5.0
CR61005- ,1.0
CR61013- ,3.0
CR61014- ,1.0
CR61017- ,0.0
CR61021- ,6.0
CR61023- ,2.8
CR61024- ,4.0
CR61026- ,2.25
CR61036- ,5.0
CS10001-PROGRAMMING AND DATA STRUCTURES ,11.941504892990979
CS10003-PROGAMMING AND DATA STRUCTURES ,13.307963444824455
CS19003-PROGAMMING AND DATA STRUCTURES LABORATORY ,17.784292154791945
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY ,13.299659590845025
CS20006-SOFTWARE ENGINEERING ,7.105384261389784
CS20202-SOFTWARE ENGINEERING ,3.734693877551021
CS21001-DISCRETE STRUCTURES ,9.148065476190476
CS21002-SWITCHING CIRCUITS AND LOGIC DESIGN ,7.4598468000988385
CS21003-ALGORITHMS - I ,18.875831549165547
CS21004-FORMAL LANGUAGE AND AUTOMATA THEORY ,6.477595628415301
CS21201-DISCRETE STRUCTURES ,5.855889724310776
CS21202-SWITCHING CIRCUITS AND LOGIC DESIGN ,3.3491124260355027
CS21203-ALGORITHMS - I ,5.924812030075188
CS21204-FORMAL LANGUAGE AND AUTOMATA THEORY ,2.697674418604651
CS29002-SWITCHING CIRCUITS LABORATORY ,7.743133462282398
CS29003-ALGORITHMS LABORATORY ,20.105827876504147
CS29006-SOFTWARE ENGINEERING LABORATORY ,7.601515151515152
CS29202-SOFTWARE ENGINEERING LABORATORY ,3.7619047619047623
CS29203-ALGORITHMS LABORATORY ,5.653075156705766
CS29204-SWITCHING CIRCUITS LABORATORY ,3.7633136094674557
CS29206-SYSTEMS PROGRAMMING LABORATORY ,3.231343283582089
CS30002-OPERATING SYSTEMS ,6.867994100294985
CS31003-COMPILERS ,10.460444964871195
